network,attack,fraction_removed,repeat,n_nodes,n_edges,density,mean_degree,average_clustering,n_components,giant_component_size,giant_component_fraction,global_efficiency_approx,n_spikes,mean_firing_rate_hz,active_fraction,population_rate_mean,population_rate_cv
aggregated,community_bridge,0.6,1,570,6352,0.03916998119199581,22.287719298245612,0.39623839383006093,15,139,0.24385964912280703,0.5296264283760526,0,0.0,0.0,0.0,0.0
aggregated,community_bridge,0.6,2,570,6352,0.03916998119199581,22.287719298245612,0.39623839383006093,15,139,0.24385964912280703,0.47242405789711944,0,0.0,0.0,0.0,0.0
aggregated,community_bridge,0.6,3,570,6352,0.03916998119199581,22.287719298245612,0.39623839383006093,15,139,0.24385964912280703,0.5266153591342867,0,0.0,0.0,0.0,0.0
aggregated,community_bridge,0.6,4,570,6352,0.03916998119199581,22.287719298245612,0.39623839383006093,15,139,0.24385964912280703,0.4987989430904929,0,0.0,0.0,0.0,0.0
aggregated,community_bridge,0.7,0,428,1944,0.021274267329116418,9.08411214953271,0.35948715642496054,16,88,0.205607476635514,0.3749827420458047,0,0.0,0.0,0.0,0.0
aggregated,community_bridge,0.7,1,428,1944,0.021274267329116418,9.08411214953271,0.35948715642496054,16,88,0.205607476635514,0.366795227215957,0,0.0,0.0,0.0,0.0
aggregated,community_bridge,0.7,2,428,1944,0.021274267329116418,9.08411214953271,0.35948715642496054,16,88,0.205607476635514,0.38929098947956825,0,0.0,0.0,0.0,0.0
aggregated,community_bridge,0.7,3,428,1944,0.021274267329116418,9.08411214953271,0.35948715642496054,16,88,0.205607476635514,0.38407585558158175,0,0.0,0.0,0.0,0.0
aggregated,community_bridge,0.7,4,428,1944,0.021274267329116418,9.08411214953271,0.35948715642496054,16,88,0.205607476635514,0.3716949046645582,0,0.0,0.0,0.0,0.0
aggregated,community_bridge,0.8,0,285,427,0.010551025450951322,2.9964912280701754,0.27367585630743524,29,74,0.2596491228070175,0.27328966910358593,0,0.0,0.0,0.0,0.0
aggregated,community_bridge,0.8,1,285,427,0.010551025450951322,2.9964912280701754,0.27367585630743524,29,74,0.2596491228070175,0.2687772290776836,0,0.0,0.0,0.0,0.0
aggregated,community_bridge,0.8,2,285,427,0.010551025450951322,2.9964912280701754,0.27367585630743524,29,74,0.2596491228070175,0.2655273837185858,0,0.0,0.0,0.0,0.0
aggregated,community_bridge,0.8,3,285,427,0.010551025450951322,2.9964912280701754,0.27367585630743524,29,74,0.2596491228070175,0.26015318130644577,0,0.0,0.0,0.0,0.0
aggregated,community_bridge,0.8,4,285,427,0.010551025450951322,2.9964912280701754,0.27367585630743524,29,74,0.2596491228070175,0.2687643192934008,0,0.0,0.0,0.0,0.0
random_geometric,random,0.0,0,1425,86583,0.0853370786516854,121.52,0.646121617878096,1,1425,1.0,0.37074485018669556,0,0.0,0.0,0.0,0.0
random_geometric,random,0.0,1,1425,86583,0.0853370786516854,121.52,0.646121617878096,1,1425,1.0,0.36490856574320163,0,0.0,0.0,0.0,0.0
random_geometric,random,0.0,2,1425,86583,0.0853370786516854,121.52,0.646121617878096,1,1425,1.0,0.36110865185211777,0,0.0,0.0,0.0,0.0
random_geometric,random,0.0,3,1425,86583,0.0853370786516854,121.52,0.646121617878096,1,1425,1.0,0.36698613479750813,0,0.0,0.0,0.0,0.0
random_geometric,random,0.0,4,1425,86583,0.0853370786516854,121.52,0.646121617878096,1,1425,1.0,0.3621681631214433,0,0.0,0.0,0.0,0.0
random_geometric,random,0.1,0,1283,70413,0.08561860790877465,109.7630553390491,0.6458492342735352,1,1283,1.0,0.3672751946978595,0,0.0,0.0,0.0,0.0
random_geometric,random,0.1,1,1283,70355,0.08554808287421131,109.6726422447389,0.6460541474909125,1,1283,1.0,0.3696966823906442,0,0.0,0.0,0.0,0.0
random_geometric,random,0.1,2,1283,70462,0.08567818940349196,109.8394388152767,0.6463259681434484,1,1283,1.0,0.35857251504303117,0,0.0,0.0,0.0,0.0
random_geometric,random,0.1,3,1283,70476,0.0856952126876969,109.86126266562744,0.6453575911966885,1,1283,1.0,0.3657359408657482,0,0.0,0.0,0.0,0.0
random_geometric,random,0.1,4,1283,70550,0.08578519290420876,109.97661730319564,0.6455958999584313,1,1283,1.0,0.3663599286824,0,0.0,0.0,0.0,0.0
random_geometric,random,0.2,0,1140,55391,0.085317992082929,97.17719298245613,0.6459560643302079,1,1140,1.0,0.35515690803652966,0,0.0,0.0,0.0,0.0
random_geometric,random,0.2,1,1140,55507,0.0854966652804091,97.38070175438597,0.644275753209887,1,1140,1.0,0.3663756933118839,0,0.0,0.0,0.0,0.0
random_geometric,random,0.2,2,1140,55604,0.0856460730403709,97.55087719298245,0.6453922290263802,1,1140,1.0,0.3594598436386276,0,0.0,0.0,0.0,0.0
random_geometric,random,0.2,3,1140,55266,0.08512545630978235,96.9578947368421,0.6465005565731081,1,1140,1.0,0.359527943266562,0,0.0,0.0,0.0,0.0
