base_sigma,Gini_mean,Gini_std,mean_degree_in_mean,mean_degree_in_std,clustering_mean,clustering_std,modularity_Q_mean,modularity_Q_std,avg_shortest_path_mean,avg_shortest_path_std
0.1418367346938775,0.48161234567901234,0.017572301163353177,21.70818254398977,0.9569554573572328,0.4773961720476915,0.005563336820215685,0.7034361647467382,0.019496246808935806,6.02605554433333,0.33294394145729683
0.1510204081632653,0.4856456790123457,0.02479192659506471,21.15881526295835,2.3925468170746256,0.4800521440798294,0.005715379835245214,0.7209696854676808,0.04473098737015481,6.43568960874652,0.5944916676992212
0.1602040816326531,0.4410950617283951,0.03936996547531127,19.622663863863863,2.6718752194031503,0.4748934972050233,0.007329990595692237,0.7171619328932392,0.04497396975753825,6.4165742937326105,0.3932762878735496
0.1693877551020408,0.4489135802469136,0.03159863941861669,19.773124124124124,1.4013782179935654,0.4742175495262918,0.007216413712280706,0.7110264898728412,0.030174010949051405,6.150616329355407,0.6005055716897643
0.1785714285714286,0.4474493827160494,0.021849910721483738,19.536817549814344,1.4329398412469343,0.46771071567088757,0.00555998630611412,0.708302536747411,0.0415515815711814,6.040251837052016,0.6586446475454438
0.1877551020408163,0.46071851851851847,0.05425230341374733,20.511707826479988,3.3415147599569837,0.47137038870665127,0.004315729931559133,0.6978331715040222,0.06091088570483278,6.278103731933931,0.6142739309867512
0.1969387755102041,0.42382469135802464,0.033469195174157605,18.895400000000002,1.1902381274350093,0.4688235694954691,0.003201767003249466,0.7102902832422868,0.02749303154850357,6.3084880880880885,0.37135742453325893
0.2061224489795918,0.40633333333333327,0.010970895979995014,17.978084475677356,0.8943259724037697,0.46678524848428155,0.005115735066618128,0.7199690947748141,0.009018559868913966,6.09855783217538,0.284326495355018
0.2153061224489796,0.3947839506172839,0.014799440324814875,17.8632,0.5818081298847582,0.46791365057153395,0.006070832455716241,0.7167964502553614,0.013222255593549453,6.183056256256256,0.3685008335907119
0.2244897959183673,0.41460740740740737,0.04298002060449635,18.707757157157157,2.903980016347487,0.46476898043539905,0.003910123373100017,0.7016829925209154,0.05742976798938337,6.186344388476654,0.2176048391252774
0.2336734693877551,0.3852320987654321,0.008218162299848331,17.618555555555552,0.6939776564517918,0.4618844873856022,0.008160618564092784,0.7134878600484855,0.014740360445962877,5.9483676028734145,0.33171006542577913
0.2428571428571428,0.3750185185185185,0.02946748813580809,16.764614434474556,1.2875045888493901,0.4630771881958228,0.0035400409288404164,0.723771505561517,0.019669605690881404,6.151553286910225,0.18860258598592136
0.2520408163265306,0.4050876543209877,0.023689327961325935,18.27160305985744,0.8998845089939316,0.4618448804920705,0.005505941219335864,0.7118794673301247,0.02131173102729752,5.901529110478692,0.2335712293686227
0.2612244897959184,0.37627037037037037,0.024802174702822494,16.365000000000002,0.7503988939224263,0.467638316191612,0.0026176652477878063,0.735671899253922,0.014321091808602202,6.398005205205205,0.12675550923128295
0.2704081632653061,0.37845432098765425,0.038933683196466326,17.05132530927721,1.3737480086014775,0.4644041069925682,0.004715923105625157,0.7156840652464134,0.028305970752180307,6.074169096330941,0.3457329425861895
0.2795918367346939,0.3741753086419753,0.00936932178293358,16.755599999999998,0.4828491482854664,0.4640137740246198,0.004738082562064851,0.7209700303797952,0.013856475610466164,6.097413813813814,0.2594389382795664
0.2887755102040816,0.3702543209876542,0.03599283982080466,16.4604,1.505296083832015,0.46630796073016356,0.0038022392459576317,0.7303422598604048,0.024551725838541785,6.339264464464465,0.28862699596062
0.2979591836734694,0.351695061728395,0.010980002884517044,15.886493975903614,0.43797548021069077,0.46423432032872036,0.0016563019443986912,0.7347003794820172,0.012780563926809893,6.268327042353851,0.10265684246325199
0.3071428571428571,0.35945679012345677,0.024793719920123226,16.5502,0.8797037569545769,0.46429722690291914,0.0035779054167965835,0.7313318217091458,0.020933265577209904,6.094478078078079,0.17344804114353748
0.3163265306122449,0.34417777777777775,0.018737187564725213,16.308600000000002,0.6828219387219471,0.46095229127299275,0.0050902302377228694,0.7210982960598876,0.022024023115555857,6.116681481481482,0.24558434679822996
