base_sigma,Gini_mean,Gini_std,k,P_k_mean,P_k_std,P_k_sem,n_sims
0.05,0.735762962962963,0.009364889864296375,30,0.033137648297465946,0.012979328871190673,0.005804532331661592,5
0.05,0.735762962962963,0.009364889864296375,31,0.034352622444962205,0.008695382568642832,0.003888693302770419,5
0.05,0.735762962962963,0.009364889864296375,32,0.03354598680129732,0.0067041629421241,0.0029981928141648937,5
0.05,0.735762962962963,0.009364889864296375,33,0.0347570677062828,0.010254233860788017,0.004585832793980424,5
0.05,0.735762962962963,0.009364889864296375,34,0.029925003202880267,0.008760693362974085,0.0039179011779282595,5
0.05,0.735762962962963,0.009364889864296375,35,0.033350628114248465,0.006153342892922677,0.002751858599488062,5
0.05,0.735762962962963,0.009364889864296375,36,0.033554688376482934,0.0068129674094089855,0.0030468516511858255,5
0.05,0.735762962962963,0.009364889864296375,37,0.030341995874345995,0.0077510884277044965,0.0034663921247918453,5
0.05,0.735762962962963,0.009364889864296375,38,0.02932702527893723,0.00524665242708669,0.0023463742962560197,5
0.05,0.735762962962963,0.009364889864296375,39,0.02752727743646114,0.0029007753237294404,0.0012972661622625975,5
0.05,0.735762962962963,0.009364889864296375,40,0.02774081055861711,0.01129519845150293,0.005051366311382183,5
0.05,0.735762962962963,0.009364889864296375,41,0.019886181178116587,0.0049590009836299204,0.002217732659976964,5
0.05,0.735762962962963,0.009364889864296375,42,0.022110576918292137,0.0034069102277518477,0.0015236165724984842,5
0.05,0.735762962962963,0.009364889864296375,43,0.019099086820964818,0.00680211545402781,0.003041998509201606,5
0.05,0.735762962962963,0.009364889864296375,44,0.01749368034849258,0.006026634661673763,0.0026951929558117955,5
0.05,0.735762962962963,0.009364889864296375,45,0.018496697813862664,0.005404439164331884,0.00241693867034165,5
0.05,0.735762962962963,0.009364889864296375,46,0.0163024244925783,0.01402629727836345,0.006272750837408193,5
0.05,0.735762962962963,0.009364889864296375,47,0.015484393862899343,0.0075737748893277175,0.0033870950997635443,5
0.05,0.735762962962963,0.009364889864296375,48,0.012668095432897198,0.004451688213601607,0.0019908554920495597,5
0.05,0.735762962962963,0.009364889864296375,49,0.013675349857527724,0.00570647606238385,0.002552013677493124,5
0.05,0.735762962962963,0.009364889864296375,50,0.012472359158540664,0.00755713779607654,0.0033796547654720167,5
0.05,0.735762962962963,0.009364889864296375,51,0.010856411549463166,0.005575943527226735,0.002493637753115786,5
0.05,0.735762962962963,0.009364889864296375,52,0.007645338056256138,0.0042651141953593185,0.0019074170545245507,5
0.05,0.735762962962963,0.009364889864296375,53,0.009854996003942256,0.004367637204016457,0.001953266737847583,5
0.05,0.735762962962963,0.009364889864296375,54,0.01266526918050652,0.0041416701727075315,0.001852211209311467,5
0.05,0.735762962962963,0.009364889864296375,55,0.00924591426832167,0.004350418907147217,0.0019455664813963045,5
0.05,0.735762962962963,0.009364889864296375,56,0.005626383945674496,0.0031409679844077673,0.0014046835856572533,5
0.05,0.735762962962963,0.009364889864296375,57,0.006833638370305023,0.0037850392776456396,0.0016927210244644698,5
0.05,0.735762962962963,0.009364889864296375,58,0.010241875933819086,0.005411836109902931,0.0024202466849661953,5
