k,P_k,P_k_error
47,0.015429757502925443,0.0011376486424089607
48,0.012569961037562055,0.0011858664339943071
49,0.011960069184859905,0.000992045475324974
50,0.012112913581493856,0.0011208756270120362
51,0.012263648772894995,0.0012691830849367726
52,0.010803508031720404,0.001564648687130436
53,0.010302051209411248,0.0015428599230259547
54,0.009998521727502643,0.0012782888975581296
55,0.009343980018183545,0.0010763140558629604
56,0.007182208680490585,0.0008859732987521302
57,0.007586245074935457,0.0010381555477700184
58,0.008489112722923351,0.001068665184468418
59,0.006935416333595519,0.0009994196705414551
60,0.007281261041804829,0.0010168463644476711
61,0.006828740479971301,0.0010142476547403128
62,0.006380611317779483,0.0010564629079340049
63,0.005776141419442697,0.000946245132808263
64,0.006229912779513869,0.0011397136616489627
65,0.004670546439371589,0.0009410670137042698
66,0.005526189114663225,0.001118531633539816
67,0.004775644472694743,0.0008284585707043318
68,0.004822920351241945,0.0009228720720354594
69,0.004067729215247049,0.000710555754607131
70,0.0038166676410647596,0.0009189494729981834
71,0.003567535008344293,0.0008383630516391361
72,0.0035641441017393665,0.0009334440527169051
73,0.003715972360349465,0.0008734945881525339
74,0.0023092072547205066,0.000596394585334326
75,0.002260893003170286,0.0005293850914399132
76,0.002410077403792955,0.0005836916955455435
77,0.002059526567637569,0.0004801483777615973
78,0.0017056981239005297,0.000595190672311753
79,0.0016566588088828098,0.0005603275283488728
80,0.0017549902486429692,0.0006845284078445812
81,0.0018096419241521295,0.000595829582149171
82,0.0013558980993556731,0.0003937972526992778
83,0.0013573208089053307,0.00046331470580330045
84,0.001155708505856764,0.0004802834487590486
85,0.000603330916674134,0.00022389357839215954
86,0.0009544975966769889,0.00046948180268523837
87,0.0008540920199926873,0.0003667068356051667
88,0.0009053065948914727,0.0004379512187931532
89,0.001106722880555349,0.0005610280540295486
90,0.00045313287162805323,0.00022546248401419383
91,0.0006031328716280532,0.00025725202068366477
92,0.0009044975966769888,0.0004122843277089527
93,0.0009068266463744597,0.0005233084853176606
94,0.0004542473464267386,0.00031540044332305353
95,0.0005554582556065136,0.0003980894381672428
96,0.0009062120274870459,0.0004679941898039241
97,0.0005039455355615475,0.00033171282536043653
98,0.0005034883982623048,0.0002882392098347072
99,0.0006549547339762314,0.00037583116754554295
100,0.0006046529231110403,0.0003695855772295844
101,0.0006061192588249668,0.0004607841935807607
102,0.0007064174039711475,0.0004642149878953567
103,0.00030303277152795313,0.0002212576644216126
104,0.0005049046839261813,0.00036327956297137583
105,0.0005561229245439772,0.0005059135836842113
106,0.000404251012145749,0.0003551468718642953
107,0.0004548546338761313,0.0003631300063173373
108,0.00025212000749435886,0.00017722603720390884
109,0.0006060655430559063,0.0004425153288432252
110,0.000706363688202087,0.0004861553068346525
111,0.00030242181835955003,0.00022042016619468137
112,0.0003021163417753484,0.0002539253677187268
113,0.00030333824811215474,0.0002553779574887436
114,0.00025273096066276196,0.00020599996407819998
115,0.0005557637321907151,0.00042456048609678195
116,0.00045363272753932494,0.000330630249292022
117,0.00025212000749435886,0.00017722603720390884
118,0.0003018108651911469,0.0003018108651911469
